21:09:52: Debug: Adding duplicate image handler for 'PNG file'
21:09:52: Debug: Adding duplicate image handler for 'JPEG file'
21:09:52: Debug: Adding duplicate image handler for 'TIFF file'
21:09:52: Debug: Adding duplicate image handler for 'GIF file'
21:09:52: Debug: Adding duplicate image handler for 'PNM file'
21:09:52: Debug: Adding duplicate image handler for 'PCX file'
21:09:52: Debug: Adding duplicate image handler for 'IFF file'
21:09:52: Debug: Adding duplicate image handler for 'Windows icon file'
21:09:52: Debug: Adding duplicate image handler for 'Windows cursor file'
21:09:52: Debug: Adding duplicate image handler for 'Windows animated cursor file'
21:09:52: Debug: Adding duplicate image handler for 'TGA file'
21:09:52: Debug: Adding duplicate image handler for 'XPM file'
assembly: 1 coded not-assembled/consigned ref(s) from 03_src/rules/assembly.yaml

bodies mounted: 174/174  ->  /home/mouse9911/gits/circuits/projects/crow-recorder-central-v2/06_build/twin_v15/missing_models.txt
C60490  R_cs  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C60490  R_rst  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C15850  C_avdd2a  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850  C_avdd3a  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850  C_b0v9  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850  C_b1v8  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850  C_b3v3  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850  C_vref2a  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850  C_vref3a  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850  Cin_U7  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C15850  Cin_U8  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C1547  CL1  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1547  CL2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C26083  Rf  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C11702  R_bg1  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C11702  R_inj1  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C11702  R_inj2  OK  fit=0.08mm jlc_offset=0 db=0.0 src=name-DB
C1523  Cd1  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1523  Cd2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1523  Cd3  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1523  Cd4  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1523  Cd5  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1523  Cd6  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1523  Cd7  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C1523  Cd8  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  C_ldo2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  C_ldo3  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  C_micb2  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  C_micb3  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  C_pll1  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  C_u18a  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  C_u33a  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  Cin_U10  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  Cin_U9  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C52923  Cout_U9  OK  fit=0.06mm jlc_offset=0 db=0.0 src=name-DB
C377773  C_vb  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc1M  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc1P  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc2M  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc2P  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc3M  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc3P  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc4M  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc4P  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc5M  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc5P  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
C377773  Cc6M  OK  fit=0.05mm jlc_offset=0 db=0.0 src=name-DB
